Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
0,0.36876666666666674,0.011342202412030624,0.364,0.369,0.373,0.374,0.338,0.359,0.366,0.372,0.373,0.372,0.368,0.376,0.354,0.361,0.368,0.36,0.373,0.365,0.383,0.349,0.387,0.381,0.361,0.357,0.393,0.386,0.367,0.375,0.375,0.364
1,1.5753333333333335,0.01396742241390362,1.56,1.593,1.564,1.558,1.567,1.552,1.567,1.584,1.576,1.567,1.599,1.598,1.568,1.578,1.598,1.585,1.593,1.595,1.576,1.554,1.587,1.553,1.581,1.56,1.57,1.583,1.584,1.571,1.57,1.569
2,1.727966666666667,0.025016638907351046,1.685,1.719,1.695,1.775,1.71,1.675,1.741,1.711,1.734,1.715,1.782,1.728,1.734,1.735,1.745,1.774,1.731,1.761,1.72,1.746,1.74,1.699,1.729,1.748,1.713,1.718,1.723,1.719,1.697,1.737
3,1.9324666666666672,0.11618368598424829,1.814,1.952,1.817,2.204,1.858,1.806,1.848,1.913,1.932,1.937,1.968,1.914,1.951,1.837,2.006,2.036,1.883,2.117,1.892,1.825,1.912,1.959,1.902,2.335,1.9,1.915,1.835,1.879,1.816,2.011
4,2.092133333333334,0.17103035468073696,1.951,1.909,1.874,2.409,2.292,1.884,1.946,2.007,2.158,2.327,2.257,2.087,2.238,1.934,2.163,2.243,2.076,2.308,1.892,2.037,1.898,2.135,2.022,2.342,2.204,2.072,1.835,2.315,1.816,2.133
5,2.1394666666666664,0.17728653517838505,1.951,1.909,1.874,2.409,2.384,1.884,1.946,2.125,2.158,2.327,2.328,2.167,2.238,1.934,2.209,2.444,2.076,2.308,2.018,2.037,1.898,2.261,2.022,2.342,2.204,2.296,2.005,2.366,1.931,2.133
6,2.170266666666667,0.1643703001017947,2.012,1.974,1.933,2.44,2.384,1.951,1.992,2.125,2.223,2.345,2.328,2.167,2.236,2.044,2.209,2.444,2.115,2.355,2.018,2.071,1.952,2.261,2.083,2.392,2.288,2.296,2.005,2.366,1.931,2.168
7,2.1854666666666662,0.16085826749727422,2.012,1.974,1.933,2.44,2.397,1.951,1.992,2.162,2.223,2.345,2.341,2.191,2.236,2.044,2.272,2.47,2.115,2.355,2.087,2.071,1.952,2.291,2.083,2.392,2.288,2.34,2.072,2.342,2.025,2.168
8,2.2090666666666663,0.1430491601591011,2.071,2.063,1.983,2.45,2.397,2.019,2.103,2.162,2.228,2.365,2.341,2.191,2.258,2.079,2.272,2.47,2.165,2.35,2.087,2.11,2.013,2.291,2.115,2.443,2.263,2.34,2.072,2.342,2.025,2.204
9,2.2256,0.14475095854605083,2.071,2.063,1.983,2.45,2.428,2.019,2.103,2.206,2.228,2.365,2.366,2.264,2.258,2.079,2.332,2.502,2.165,2.35,2.133,2.11,2.013,2.326,2.115,2.443,2.263,2.358,2.141,2.35,2.08,2.204
10,2.2479333333333336,0.13993806566556485,2.098,2.079,1.998,2.484,2.428,2.078,2.126,2.206,2.307,2.388,2.366,2.264,2.287,2.17,2.332,2.502,2.199,2.379,2.133,2.122,2.052,2.326,2.148,2.478,2.322,2.358,2.141,2.35,2.08,2.237
