Iteration,Mean,Stdev,Run-0,Run-1,Run-2,Run-3,Run-4
0,3.504,0.02939387691339773,3.53,3.53,3.45,3.51,3.5
1,2.5140000000000002,0.1344023809312877,2.62,2.3,2.57,2.66,2.42
2,2.628,0.08059776671843025,2.58,2.64,2.78,2.58,2.56
3,2.7359999999999998,0.056071383075503085,2.82,2.76,2.74,2.65,2.71
4,2.7760000000000002,0.11723480711801888,2.95,2.81,2.83,2.65,2.64
5,2.7380000000000004,0.08255906976218329,2.83,2.81,2.65,2.63,2.77
6,2.778,0.13422369388449779,2.92,2.92,2.66,2.59,2.8
7,2.7939999999999996,0.08260750571226393,2.87,2.83,2.69,2.7,2.88
8,2.7880000000000003,0.09195651146057526,2.87,2.85,2.72,2.64,2.86
9,2.7760000000000002,0.04841487374763063,2.85,2.8,2.74,2.71,2.78
10,2.7440000000000007,0.07445804187592422,2.81,2.74,2.62,2.72,2.83
11,2.7560000000000002,0.10442221985764452,2.9,2.76,2.59,2.71,2.82
12,2.69,0.1088117640698849,2.82,2.71,2.5,2.66,2.76
13,2.722,0.12188519188154064,2.84,2.77,2.5,2.69,2.81
14,2.684,0.10669582934678716,2.82,2.67,2.5,2.68,2.75
15,2.7079999999999997,0.12221292893962321,2.82,2.67,2.5,2.71,2.84
16,2.734,0.14249210504445303,2.82,2.67,2.5,2.76,2.92
17,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
18,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
19,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
20,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
21,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
22,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
23,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
24,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
25,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
26,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
27,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
28,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
29,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
30,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
31,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
32,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
33,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
34,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
35,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
36,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
37,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
38,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
39,2.726,0.13260467563400385,2.82,2.67,2.5,2.76,2.88
